Rk;Player;Nacionalidad;Posicion;Equipo;Competicion;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;;CrdY;CrdR
818;Youssef En-Nesyri;ma MAR;FW;Sevilla;es La Liga;26;1997;33;28;2570;28.6;16;2;18;15;1;;4;0
819;Julio Enciso;py PAR;MF,FW;Brighton;eng Premier League;19;2004;12;5;475;5.3;0;2;2;0;0;;2;0
820;Wataru Endo;jp JPN;MF;Liverpool;eng Premier League;30;1993;29;20;1722;19.1;1;0;1;1;0;;10;0
821;Arne Engels;be BEL;MF,DF;Augsburg;de Bundesliga;19;2003;32;13;1405;15.6;3;2;5;3;0;;1;1
822;Christian Eriksen;dk DEN;MF;Manchester Utd;eng Premier League;31;1992;22;12;1141;12.7;1;2;3;1;0;;1;0
823;Martin Erlic;hr CRO;DF;Sassuolo;it Serie A;25;1998;32;31;2618;29.1;1;0;1;1;0;;5;0
824;Gonzalo Escalante;ar ARG;MF;Cádiz;es La Liga;30;1993;25;18;1697;18.9;1;2;3;1;0;;2;1
825;Aarón Escandell;es ESP;GK;Las Palmas;es La Liga;27;1995;2;1;153;1.7;0;0;0;0;0;;0;1
826;Alfonso Espino;uy URU;DF;Rayo Vallecano;es La Liga;31;1992;31;29;2507;27.9;0;1;1;0;0;;9;0
827;Bernardo Espinosa;co COL;DF;Girona;es La Liga;34;1989;2;0;2;0.0;0;0;0;0;0;;0;0
828;Maxime Estève;fr FRA;DF;Burnley;eng Premier League;21;2002;16;15;1309;14.5;0;0;0;0;0;;6;0
829;Maxime Estève;fr FRA;DF;Montpellier;fr Ligue 1;21;2002;12;12;995;11.1;1;1;2;1;0;;2;0
830;Oscar Estupiñan;co COL;FW;Metz;fr Ligue 1;26;1996;6;4;260;2.9;0;0;0;0;0;;0;0
831;Pervis Estupiñán;ec ECU;DF;Brighton;eng Premier League;25;1998;19;15;1243;13.8;2;3;5;2;0;;4;0
832;Karl Etta;cm CMR;FW;Cádiz;es La Liga;19;2004;1;0;21;0.2;0;0;0;0;0;;0;0
833;Jonny Evans;nir NIR;DF;Manchester Utd;eng Premier League;35;1988;23;15;1392;15.5;0;1;1;0;0;;2;0
834;Eberechi Eze;eng ENG;MF,FW;Crystal Palace;eng Premier League;25;1998;27;24;2055;22.8;11;4;15;10;1;;3;0
835;Abde Ezzalzouli;ma MAR;FW,MF;Barcelona;es La Liga;21;2001;2;0;68;0.8;0;0;0;0;0;;0;0
836;Abde Ezzalzouli;ma MAR;FW;Betis;es La Liga;21;2001;26;6;865;9.6;1;0;1;1;0;;1;0
837;Giovanni Fabbian;it ITA;MF,FW;Bologna;it Serie A;20;2003;27;11;1057;11.7;5;2;7;5;0;;4;0
838;Łukasz Fabiański;pl POL;GK;West Ham;eng Premier League;38;1985;10;7;721;8.0;0;0;0;0;0;;0;0
839;Nicolò Fagioli;it ITA;MF;Juventus;it Serie A;22;2001;8;4;437;4.9;0;2;2;0;0;;1;0
840;Romain Faivre;fr FRA;MF,FW;Bournemouth;eng Premier League;25;1998;5;0;41;0.5;0;0;0;0;0;;1;0
841;Romain Faivre;fr FRA;MF,FW;Lorient;fr Ligue 1;25;1998;17;16;1453;16.1;5;1;6;5;0;;1;0
842;Ilhan Fakili;fr FRA;MF,FW;Clermont Foot;fr Ligue 1;17;2006;3;1;94;1.0;0;0;0;0;0;;0;0
843;Radamel Falcao;co COL;FW,DF;Rayo Vallecano;es La Liga;37;1986;22;2;407;4.5;1;0;1;0;1;;4;0
844;Wladimiro Falcone;it ITA;GK;Lecce;it Serie A;28;1995;38;38;3420;38.0;0;0;0;0;0;;0;0
845;Fali;es ESP;DF;Cádiz;es La Liga;29;1993;30;30;2547;28.3;0;0;0;0;0;;12;0
846;Davide Faraoni;it ITA;DF;Hellas Verona;it Serie A;31;1991;11;7;602;6.7;0;1;1;0;0;;5;0
847;Davide Faraoni;it ITA;DF;Fiorentina;it Serie A;31;1991;8;4;392;4.4;0;1;1;0;0;;0;0
848;Ansu Fati;es ESP;MF,FW;Brighton;eng Premier League;20;2002;19;3;521;5.8;2;0;2;2;0;;2;0
849;Ansu Fati;es ESP;MF,FW;Barcelona;es La Liga;20;2002;3;0;50;0.6;0;0;0;0;0;;0;0
850;Khalil Fayad;fr FRA;FW,MF;Montpellier;fr Ligue 1;19;2004;23;11;1025;11.4;3;0;3;3;0;;2;0
851;Federico Fazio;ar ARG;DF;Salernitana;it Serie A;36;1987;17;15;1355;15.1;1;0;1;1;0;;3;1
852;Jacopo Fazzini;it ITA;MF;Empoli;it Serie A;20;2003;31;14;1232;13.7;1;1;2;1;0;;6;0
853;Peter Federico;do DOM;MF,FW;Valencia;es La Liga;21;2002;15;5;649;7.2;0;0;0;0;0;;1;0
854;Nabil Fekir;fr FRA;MF,FW;Betis;es La Liga;30;1993;19;10;1049;11.7;1;2;3;1;0;;1;0
855;Felipe;br BRA;DF;Nott'ham Forest;eng Premier League;34;1989;7;4;375;4.2;0;0;0;0;0;;4;0
856;Luiz Felipe;it ITA;DF;Betis;es La Liga;26;1997;4;4;360;4.0;0;0;0;0;0;;1;0
857;João Félix;pt POR;FW;Barcelona;es La Liga;23;1999;30;18;1540;17.1;7;3;10;7;0;;3;0
858;Ohis Felix Uduokhai;de GER;DF;Augsburg;de Bundesliga;25;1997;33;33;2921;32.5;2;0;2;2;0;;5;1
859;Kiko Femenía;es ESP;DF;Villarreal;es La Liga;32;1991;23;16;1583;17.6;0;0;0;0;0;;8;1
860;Evan Ferguson;ie IRL;FW;Brighton;eng Premier League;18;2004;27;15;1367;15.2;6;0;6;6;0;;1;0
861;Lewis Ferguson;sct SCO;MF;Bologna;it Serie A;23;1999;31;31;2712;30.1;6;3;9;6;0;;8;0
862;Bruno Fernandes;pt POR;MF,FW;Manchester Utd;eng Premier League;28;1994;35;35;3118;34.6;10;8;18;6;4;;9;0
863;Edimilson Fernandes;ch SUI;DF;Mainz 05;de Bundesliga;27;1996;21;13;1290;14.3;0;2;2;0;0;;4;0
864;Aitor Fernández;es ESP;GK;Osasuna;es La Liga;32;1991;7;6;551;6.1;0;0;0;0;0;;2;0
865;Álex Fernández;es ESP;MF;Cádiz;es La Liga;30;1992;26;14;1285;14.3;0;1;1;0;0;;3;0
866;Carlos Fernández;es ESP;FW;Real Sociedad;es La Liga;27;1996;10;5;408;4.5;2;1;3;1;1;;3;0
867;Enzo Fernández;ar ARG;MF;Chelsea;eng Premier League;22;2001;28;26;2209;24.5;3;2;5;2;1;;7;0
868;Raúl Fernández;es ESP;GK;Granada;es La Liga;35;1988;4;4;280;3.1;0;0;0;0;0;;0;0
869;Valery Fernández;es ESP;MF,FW;Girona;es La Liga;23;1999;27;2;506;5.6;2;0;2;2;0;;1;0
870;Fernando;es ESP;GK;Almería;es La Liga;33;1990;4;4;360;4.0;0;0;0;0;0;;0;0
871;Fernando;br BRA;MF;Sevilla;es La Liga;36;1987;8;5;459;5.1;0;0;0;0;0;;0;0
872;Ichem Ferrah;fr FRA;FW;Lille;fr Ligue 1;17;2005;1;0;3;0.0;0;0;0;0;0;;0;0
873;Andrea Ferraris;it ITA;MF;Monza;it Serie A;20;2003;1;0;10;0.1;0;0;0;0;0;;0;0
874;André Ferreira;pt POR;GK;Granada;es La Liga;27;1996;15;14;1340;14.9;0;0;0;0;0;;1;0
875;João Ferreira;pt POR;DF;Udinese;it Serie A;22;2001;35;18;1822;20.2;0;1;1;0;0;;9;0
876;Jordan Ferri;fr FRA;MF;Montpellier;fr Ligue 1;31;1992;30;23;2031;22.6;1;1;2;1;0;;6;0
877;Nacho Ferri;es ESP;FW,MF;Eint Frankfurt;de Bundesliga;18;2004;8;0;74;0.8;1;0;1;1;0;;0;0
878;Rachad Fettal;ma MAR;FW;Almería;es La Liga;18;2005;1;0;17;0.2;0;0;0;0;0;;0;0
879;Seydou Fini;it ITA;DF,FW;Genoa;it Serie A;17;2006;3;0;35;0.4;0;0;0;0;0;;0;0
880;Max Finkgräfe;de GER;DF,FW;Köln;de Bundesliga;19;2004;24;18;1756;19.5;1;0;1;1;0;;4;0
881;Vincenzo Fiorillo;it ITA;GK;Salernitana;it Serie A;33;1990;4;4;360;4.0;0;0;0;0;0;;1;1
882;Kilian Fischer;de GER;DF,MF;Wolfsburg;de Bundesliga;22;2000;6;4;291;3.2;0;0;0;0;0;;1;0
883;John Fleck;sct SCO;MF,DF;Sheffield Utd;eng Premier League;31;1991;4;1;92;1.0;0;0;0;0;0;;1;0
884;Mark Flekken;nl NED;GK;Brentford;eng Premier League;30;1993;37;37;3285;36.5;0;1;1;0;0;;3;0
885;Alessandro Florenzi;it ITA;DF;Milan;it Serie A;32;1991;31;19;1732;19.2;1;4;5;1;0;;5;0
886;Phil Foden;eng ENG;FW,MF;Manchester City;eng Premier League;23;2000;35;33;2857;31.7;19;8;27;19;0;;2;0
887;Wes Foderingham;eng ENG;GK;Sheffield Utd;eng Premier League;32;1991;30;29;2649;29.4;0;0;0;0;0;;2;0
888;Malick Fofana;be BEL;FW;Lyon;fr Ligue 1;18;2005;17;4;559;6.2;3;0;3;3;0;;0;0
889;Youssouf Fofana;fr FRA;MF;Monaco;fr Ligue 1;24;1999;32;31;2697;30.0;4;4;8;4;0;;3;0
890;Jonas Föhrenbach;de GER;DF;Heidenheim;de Bundesliga;27;1996;33;32;2788;31.0;0;0;0;0;0;;2;0
891;Thomas Foket;be BEL;DF;Reims;fr Ligue 1;28;1994;27;22;1833;20.4;0;1;1;0;0;;9;1
892;Michael Folorunsho;it ITA;MF,FW;Hellas Verona;it Serie A;25;1998;34;33;2781;30.9;5;1;6;5;0;;5;0
893;Tiago Fonseca Morais;pt POR;FW;Lille;fr Ligue 1;19;2003;3;0;46;0.5;0;0;0;0;0;;0;0
894;Pablo Fornals;es ESP;MF,FW;West Ham;eng Premier League;27;1996;15;4;426;4.7;0;0;0;0;0;;0;0
895;Pablo Fornals;es ESP;FW,MF;Betis;es La Liga;27;1996;15;14;1148;12.8;3;2;5;3;0;;2;0
896;Emil Forsberg;se SWE;MF,FW;RB Leipzig;de Bundesliga;31;1991;14;5;464;5.2;2;1;3;2;0;;0;0
897;Omari Forson;eng ENG;FW;Manchester Utd;eng Premier League;19;2004;4;1;70;0.8;0;1;1;0;0;;0;0
898;Philipp Förster;de GER;MF,FW;Bochum;de Bundesliga;28;1995;13;3;385;4.3;0;0;0;0;0;;1;0
899;Héctor Fort;es ESP;DF;Barcelona;es La Liga;16;2006;7;4;318;3.5;0;2;2;0;0;;0;0
900;Lyle Foster;za RSA;FW,MF;Burnley;eng Premier League;22;2000;24;22;1899;21.1;5;3;8;5;0;;0;1
901;Dimitri Foulquier;fr FRA;DF,MF;Valencia;es La Liga;30;1993;33;19;1842;20.5;0;0;0;0;0;;3;0
